OrderID,CustomerID,CourseID,OrderDate,OrderAmount
1001,C076,CRS08,2024-01-07,22000
1002,C006,CRS06,2024-09-20,30000
1003,C029,CRS08,2024-07-27,22000
1004,C089,CRS09,2024-06-23,40000
1005,C090,CRS07,2024-12-28,35000
1006,C002,CRS09,2024-08-03,40000
1007,C052,CRS05,2024-02-23,17000
1008,C012,CRS05,2024-07-31,17000
1009,C034,CRS06,2024-07-27,30000
1010,C026,CRS01,2024-11-03,15000
1011,C019,CRS05,2024-05-29,17000
1012,C018,CRS01,2024-11-21,15000
1013,C084,CRS08,2024-12-30,22000
1014,C027,CRS10,2024-05-15,28000
1015,C034,CRS01,2024-08-03,15000
1016,C055,CRS01,2024-08-06,15000
1017,C034,CRS07,2024-12-26,35000
1018,C016,CRS08,2024-03-29,22000
1019,C021,CRS04,2024-04-17,20000
1020,C095,CRS08,2024-07-02,22000
1021,C066,CRS05,2024-09-28,17000
1022,C015,CRS05,2024-02-21,17000
1023,C011,CRS08,2024-02-20,22000
1024,C100,CRS02,2024-07-30,18000
1025,C069,CRS05,2024-07-02,17000
1026,C009,CRS05,2024-02-20,17000
1027,C095,CRS08,2024-04-11,22000
1028,C053,CRS08,2024-03-11,22000
1029,C015,CRS05,2024-04-17,17000
1030,C040,CRS01,2024-06-09,15000
1031,C085,CRS07,2024-02-01,35000
1032,C099,CRS03,2024-03-29,25000
1033,C080,CRS09,2024-10-22,40000
1034,C049,CRS01,2024-09-02,15000
1035,C060,CRS04,2024-07-09,20000
1036,C090,CRS09,2024-06-25,40000
1037,C050,CRS05,2024-09-16,17000
1038,C002,CRS05,2024-08-14,17000
1039,C017,CRS01,2024-03-20,15000
1040,C033,CRS08,2024-11-02,22000
1041,C043,CRS09,2024-07-08,40000
1042,C032,CRS06,2024-05-21,30000
1043,C089,CRS04,2024-02-25,20000
1044,C028,CRS10,2024-06-20,28000
1045,C065,CRS10,2024-05-23,28000
1046,C050,CRS06,2024-03-10,30000
1047,C076,CRS03,2024-03-10,25000
1048,C066,CRS09,2024-04-08,40000
1049,C008,CRS01,2024-10-26,15000
1050,C080,CRS10,2024-03-27,28000
1051,C005,CRS01,2024-03-28,15000
1052,C076,CRS07,2024-07-06,35000
1053,C095,CRS04,2024-06-24,20000
1054,C097,CRS08,2024-03-30,22000
1055,C074,CRS02,2024-09-09,18000
1056,C036,CRS01,2024-05-02,15000
1057,C024,CRS03,2024-01-20,25000
1058,C054,CRS02,2024-09-15,18000
1059,C025,CRS05,2024-07-28,17000
1060,C093,CRS08,2024-06-04,22000
1061,C086,CRS06,2024-01-24,30000
1062,C075,CRS08,2024-01-24,22000
1063,C039,CRS09,2024-01-27,40000
1064,C098,CRS04,2024-07-02,20000
1065,C031,CRS04,2024-03-21,20000
1066,C054,CRS03,2024-06-01,25000
1067,C001,CRS01,2024-03-13,15000
1068,C072,CRS05,2024-08-14,17000
1069,C024,CRS05,2024-09-10,17000
1070,C086,CRS02,2024-12-22,18000
1071,C050,CRS07,2024-03-08,35000
1072,C047,CRS01,2024-02-10,15000
1073,C035,CRS04,2024-01-04,20000
1074,C053,CRS10,2024-02-12,28000
